head_code,line,neck_class,movable_jaw (known),priority (1=has cast),default_eye_color  <-- FILL,eye_swappable  <-- FILL (Y/N),default_makeup  <-- FILL,eyebrows  <-- FILL (Painted/Implanted),default_wig_color  <-- FILL,wig_removable  <-- FILL (Y/N),freckles_available  <-- FILL (Y/N),notes
GE02_1,I-Series,standard,Y,1,,,,,,,,
GE115_1,I-Series,standard,Y,1,,,,,,,,
GE127_1,I-Series,standard,Y,1,,,,,,,,
GE134_1,I-Series,standard,Y,1,,,,,,,,
GE138_1,I-Series,standard,Y,1,,,,,,,,
GE139_1,I-Series,standard,Y,1,,,,,,,,
GE141_1,I-Series,standard,Y,1,,,,,,,,
GE149_1,I-Series,standard,Y,1,,,,,,,,
GE41_1,I-Series,standard,Y,1,,,,,,,,
GE45_8,I-Series,standard,N,1,,,,,,,,
GE47_1,I-Series,standard,N,1,,,,,,,,
GE52_1,I-Series,standard,N,1,,,,,,,,
GE53_1,I-Series,standard,N,1,,,,,,,,
GE53_3,I-Series,standard,N,1,,,,,,,,
GE60_1,I-Series,standard,Y,1,,,,,,,,
GE68_1,I-Series,standard,Y,1,,,,,,,,
GE82_1,I-Series,standard,Y,1,,,,,,,,
KE01_1,K-Series,slim,N,1,,,,,,,,
KE02_1,K-Series,slim,N,1,,,,,,,,
KE03_1,K-Series,slim,N,1,,,,,,,,
ZFE01_1,Fusion,standard,N,1,,,,,,,,
ZFE01_2,Fusion,standard,N,1,,,,,,,,
ZFE03_1,Fusion,standard,N,1,,,,,,,,
ZFE05_1,Fusion,standard,N,1,,,,,,,,
ZXE200_1,SLE 3.0,standard,N,1,,,,,,,,
ZXE200_3,SLE 3.0,standard,N,1,,,,,,,,
ZXE201_1,SLE 3.0,standard,N,1,,,,,,,,
ZXE201_4,SLE 3.0,standard,N,1,,,,,,,,
ZXE201_W2,SLE 3.0,standard,N,1,,,,,,,,
ZXE203_W1,SLE 3.0,standard,N,1,,,,,,,,
ZXE204_1,SLE 3.0,standard,N,1,,,,,,,,
ZXE206_W1,SLE 3.0,standard,N,1,,,,,,,,
ZXE208_5,SLE 3.0,standard,N,1,,,,,,,,
ZXE208_W1,SLE 3.0,standard,N,1,,,,,,,,
ZXE212_W2,SLE 3.0,standard,N,1,,,,,,,,
ZXE215_1,SLE 3.0,standard,N,1,,,,,,,,
ZXE215_W1,SLE 3.0,standard,N,1,,,,,,,,
ZXE216_1,SLE 3.0,standard,N,1,,,,,,,,
ZXE216_3,SLE 3.0,standard,N,1,,,,,,,,
ZXE216_W1,SLE 3.0,standard,N,1,,,,,,,,
ZXE217_1,SLE 3.0,standard,N,1,,,,,,,,
ZXE217_2,SLE 3.0,standard,N,1,,,,,,,,
ZXE218_W1,SLE 3.0,standard,N,1,,,,,,,,
ZXE219_1,SLE 3.0,standard,N,1,,,,,,,,
ZXE222_1,SLE 3.0,standard,N,1,,,,,,,,
ZXE223_1,SLE 3.0,standard,N,1,,,,,,,,
ZXE224_2,SLE 3.0,standard,N,1,,,,,,,,
ZXE226_1,SLE 3.0,standard,N,1,,,,,,,,
ZXE231_1,SLE 3.0,standard,N,1,,,,,,,,
GE03_1,I-Series,standard,Y,2,,,,,,,,
GE03_2,I-Series,standard,Y,2,,,,,,,,
GE07_1,I-Series,standard,N,2,,,,,,,,
GE07_3,I-Series,standard,N,2,,,,,,,,
GE100_1,I-Series,standard,N,2,,,,,,,,
GE109_1,I-Series,standard,N,2,,,,,,,,
GE111_1,I-Series,standard,N,2,,,,,,,,
GE111_2,I-Series,standard,N,2,,,,,,,,
GE111_3,I-Series,standard,N,2,,,,,,,,
GE113_1,I-Series,standard,Y,2,,,,,,,,
GE114_1,I-Series,standard,Y,2,,,,,,,,
GE116_1,I-Series,standard,Y,2,,,,,,,,
GE122_1,I-Series,standard,N,2,,,,,,,,
GE122_2,I-Series,standard,N,2,,,,,,,,
GE123_1,I-Series,standard,N,2,,,,,,,,
GE124_1,I-Series,standard,N,2,,,,,,,,
GE124_2,I-Series,standard,N,2,,,,,,,,
GE125_1,I-Series,standard,N,2,,,,,,,,
GE125_2,I-Series,standard,N,2,,,,,,,,
GE137_1,I-Series,standard,Y,2,,,,,,,,
GE146_1,I-Series,standard,Y,2,,,,,,,,
GE14_1,I-Series,standard,Y,2,,,,,,,,
GE14_2,I-Series,standard,Y,2,,,,,,,,
GE14_3,I-Series,standard,Y,2,,,,,,,,
GE16_1,I-Series,standard,Y,2,,,,,,,,
GE16_2,I-Series,standard,Y,2,,,,,,,,
GE173_1,I-Series,standard,Y,2,,,,,,,,
GE24_1,I-Series,standard,N,2,,,,,,,,
GE45_1,I-Series,standard,N,2,,,,,,,,
GE45_2,I-Series,standard,N,2,,,,,,,,
GE45_5,I-Series,standard,N,2,,,,,,,,
GE45_6,I-Series,standard,N,2,,,,,,,,
GE45_7,I-Series,standard,N,2,,,,,,,,
GE46_2,I-Series,standard,N,2,,,,,,,,
GE46_3,I-Series,standard,N,2,,,,,,,,
GE46_4,I-Series,standard,N,2,,,,,,,,
GE46_5,I-Series,standard,N,2,,,,,,,,
GE48_1,I-Series,standard,N,2,,,,,,,,
GE48_2,I-Series,standard,N,2,,,,,,,,
GE49_1,I-Series,standard,N,2,,,,,,,,
GE49_2,I-Series,standard,N,2,,,,,,,,
GE50_1,I-Series,standard,N,2,,,,,,,,
GE51_2,I-Series,standard,N,2,,,,,,,,
GE52_2,I-Series,standard,N,2,,,,,,,,
GE53_2,I-Series,standard,N,2,,,,,,,,
GE55_3,I-Series,standard,N,2,,,,,,,,
GE58_1,I-Series,standard,N,2,,,,,,,,
GE59_1,I-Series,standard,Y,2,,,,,,,,
GE64_1,I-Series,standard,Y,2,,,,,,,,
GE76_1,I-Series,standard,N,2,,,,,,,,
GE78_1,I-Series,standard,N,2,,,,,,,,
GE78_2,I-Series,standard,N,2,,,,,,,,
GE81_1,I-Series,standard,N,2,,,,,,,,
GE86_1,I-Series,standard,N,2,,,,,,,,
GE88_2,I-Series,standard,N,2,,,,,,,,
GE94_1,I-Series,standard,N,2,,,,,,,,
GE94_2,I-Series,standard,Y,2,,,,,,,,
GE95_1,I-Series,standard,Y,2,,,,,,,,
GE95_2,I-Series,standard,Y,2,,,,,,,,
GE95_3,I-Series,standard,Y,2,,,,,,,,
GE95_4,I-Series,standard,Y,2,,,,,,,,
GE95_5,I-Series,standard,Y,2,,,,,,,,
GE95_6,I-Series,standard,Y,2,,,,,,,,
GE95_7,I-Series,standard,Y,2,,,,,,,,
GE97_1,I-Series,standard,Y,2,,,,,,,,
GE98_1,I-Series,standard,N,2,,,,,,,,
GE98_2,I-Series,standard,N,2,,,,,,,,
ZX201_2,SLE 3.0,standard,N,2,,,,,,,,
ZX204_1,SLE 3.0,standard,N,2,,,,,,,,
ZX207_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE200_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE200_W1,SLE 3.0,standard,N,2,,,,,,,,
ZXE200_W2,SLE 3.0,standard,N,2,,,,,,,,
ZXE200_Z1,SLE 3.0,standard,N,2,,,,,,,,
ZXE201_3,SLE 3.0,standard,N,2,,,,,,,,
ZXE201_5,SLE 3.0,standard,N,2,,,,,,,,
ZXE201_Z1,SLE 3.0,standard,N,2,,,,,,,,
ZXE202_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE202_Z1,SLE 3.0,standard,N,2,,,,,,,,
ZXE203_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE203_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE203_3,SLE 3.0,standard,N,2,,,,,,,,
ZXE203_4,SLE 3.0,standard,N,2,,,,,,,,
ZXE203_5,SLE 3.0,standard,N,2,,,,,,,,
ZXE203_Z1,SLE 3.0,standard,N,2,,,,,,,,
ZXE204_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE204_Z1,SLE 3.0,standard,N,2,,,,,,,,
ZXE205_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE205_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE205_Z1,SLE 3.0,standard,N,2,,,,,,,,
ZXE206_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE206_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE206_3,SLE 3.0,standard,N,2,,,,,,,,
ZXE206_4,SLE 3.0,standard,N,2,,,,,,,,
ZXE206_5,SLE 3.0,standard,N,2,,,,,,,,
ZXE206_W2,SLE 3.0,standard,N,2,,,,,,,,
ZXE206_Z1,SLE 3.0,standard,N,2,,,,,,,,
ZXE207_3,SLE 3.0,standard,N,2,,,,,,,,
ZXE207_Z1,SLE 3.0,standard,N,2,,,,,,,,
ZXE208_4,SLE 3.0,standard,N,2,,,,,,,,
ZXE208_Z1,SLE 3.0,standard,N,2,,,,,,,,
ZXE209_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE209_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE209_W1,SLE 3.0,standard,N,2,,,,,,,,
ZXE209_Z1,SLE 3.0,standard,N,2,,,,,,,,
ZXE211_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE211_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE212_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE212_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE212_W1,SLE 3.0,standard,N,2,,,,,,,,
ZXE213_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE213_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE215_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE215_3,SLE 3.0,standard,N,2,,,,,,,,
ZXE216_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE216_4,SLE 3.0,standard,N,2,,,,,,,,
ZXE217_4,SLE 3.0,standard,N,2,,,,,,,,
ZXE217_5,SLE 3.0,standard,N,2,,,,,,,,
ZXE218_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE218_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE218_W2,SLE 3.0,standard,N,2,,,,,,,,
ZXE220_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE220_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE221_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE223_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE223_3,SLE 3.0,standard,N,2,,,,,,,,
ZXE224_1,SLE 3.0,standard,N,2,,,,,,,,
GE101_1,I-Series,standard,N,2,,,,,,,,
GE125_3,I-Series,standard,N,2,,,,,,,,
GE139_2,I-Series,standard,N,2,,,,,,,,
ZXE201_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE202_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE207_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE207_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE208_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE210_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE210_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE214_1,SLE 3.0,standard,N,2,,,,,,,,
ZXE214_2,SLE 3.0,standard,N,2,,,,,,,,
ZXE219_2,SLE 3.0,standard,N,2,,,,,,,,
